Měsíc,Průměrný denní počet - úhrady,Průměrný denní počet - okamžité platby,Průměrný denní počet - inkasa,Průměrný denní počet - výzvy k inkasu a stornu,Průměrný denní počet - odmítnuté výzvy,Průměrné denní obraty - úhrady a inkasa [mld],rok,mesic,datum,neokamzite_uhrady,celkove_platby,podil_okamzitych_pct
200801,1533207.90909091,0.0,102404.181818182,132480.181818182,31164.4545454545,681.855375678073,2008,1,2008-01-01,,,0.0
200802,1525629.76190476,0.0,103632.619047619,132189.476190476,31604.7619047619,633.37373118502,2008,2,2008-02-01,,,0.0
200803,1628943.7,0.0,110743.85,140698.55,28363.75,664.582544285739,2008,3,2008-03-01,,,0.0
200804,1633166.31818182,0.0,102632.636363636,130672.818181818,28738.1818181818,635.951947115711,2008,4,2008-04-01,,,0.0
200805,1679340.45,0.0,111428.25,145222.4,29715.1,614.302102527319,2008,5,2008-05-01,,,0.0
200806,1580047.33333333,0.0,104039.857142857,129497.19047619,28538.3333333333,726.24052460513,2008,6,2008-06-01,,,0.0
200807,1510877.69565217,0.0,95525.8695652174,127293.608695652,28119.2173913043,612.463365572207,2008,7,2008-07-01,,,0.0
200808,1504521.71428571,0.0,102605.666666667,127487.714285714,27863.2857142857,626.655114660162,2008,8,2008-08-01,,,0.0
200809,1534633.18181818,0.0,101166.227272727,133713.545454545,28574.9545454545,696.671549926676,2008,9,2008-09-01,,,0.0
200810,1626016.81818182,0.0,106280.090909091,133545.954545455,28150.0,646.30450816267,2008,10,2008-10-01,,,0.0
200811,1765754.63157895,0.0,121870.473684211,152301.368421053,31730.5789473684,569.294954331982,2008,11,2008-11-01,,,0.0
200812,1909474.6,0.0,117453.15,149949.75,28232.0,613.173345243529,2008,12,2008-12-01,,,0.0
200901,1605046.28571429,0.0,111738.523809524,136196.666666667,26672.4761904762,567.812024725134,2009,1,2009-01-01,,,0.0
200902,1639083.25,0.0,116760.05,142681.0,26624.5,549.018093314467,2009,2,2009-02-01,,,0.0
200903,1619659.40909091,0.0,107814.863636364,136151.181818182,27213.5,560.620766854303,2009,3,2009-03-01,,,0.0
200904,1739081.0952381,0.0,114429.523809524,142212.380952381,27236.9523809524,504.650917725586,2009,4,2009-04-01,,,0.0
200905,1804687.31578947,0.0,124483.631578947,151588.368421053,28350.5789473684,526.583768858017,2009,5,2009-05-01,,,0.0
200906,1602323.13636364,0.0,106219.954545455,132109.727272727,26394.1363636364,513.892305331422,2009,6,2009-06-01,,,0.0
200907,1603544.22727273,0.0,105438.681818182,134081.136363636,26960.5,496.140039827368,2009,7,2009-07-01,,,0.0
200908,1548443.04761905,0.0,107689.047619048,133684.619047619,26838.7619047619,482.125481924763,2009,8,2009-08-01,,,0.0
200909,1628993.85714286,0.0,110957.047619048,139532.619047619,26841.8571428571,499.850531585892,2009,9,2009-09-01,,,0.0
200910,1736466.28571429,0.0,117705.80952381,147163.428571429,26772.6666666667,545.45426346626,2009,10,2009-10-01,,,0.0
200911,1778252.0,0.0,124426.9,149473.45,27894.3,508.913002253236,2009,11,2009-11-01,,,0.0
200912,1889487.61904762,0.0,117852.428571429,146407.333333333,26164.0952380952,541.08081271232,2009,12,2009-12-01,,,0.0
201001,1698875.9,0.0,121489.55,145084.3,25627.6,499.399916584014,2010,1,2010-01-01,,,0.0
201002,1686806.05,0.0,117890.35,149129.85,26014.6,498.16441571289,2010,2,2010-02-01,,,0.0
201003,1634055.47826087,0.0,112216.565217391,136359.608695652,26994.5217391304,479.653562020213,2010,3,2010-03-01,,,0.0
201004,1782711.14285714,0.0,118844.285714286,147085.0,27495.0476190476,503.979550601138,2010,4,2010-04-01,,,0.0
201005,1746367.85714286,0.0,118194.0,142878.904761905,26819.5714285714,517.565289041297,2010,5,2010-05-01,,,0.0
201006,1665608.18181818,0.0,106460.954545455,137500.272727273,26884.3636363636,545.307463157645,2010,6,2010-06-01,,,0.0
201007,1778899.45,0.0,124377.75,147727.7,27576.9,563.525112063186,2010,7,2010-07-01,,,0.0
201008,1591219.18181818,0.0,108600.409090909,135282.681818182,26601.0,533.256732723613,2010,8,2010-08-01,,,0.0
201009,1705775.57142857,0.0,114030.857142857,142257.952380952,26482.5238095238,529.58489014782,2010,9,2010-09-01,,,0.0
201010,1843184.4,0.0,127152.35,158198.2,27407.05,563.876848799697,2010,10,2010-10-01,,,0.0
201011,1847422.19047619,0.0,121339.285714286,146181.285714286,27657.8095238095,520.307488632599,2010,11,2010-11-01,,,0.0
201012,1870032.36363636,0.0,115958.409090909,146930.454545455,26333.6818181818,550.987857298008,2010,12,2010-12-01,,,0.0
201101,1718825.0952381,0.0,122440.19047619,142851.904761905,26625.8095238095,541.681594714445,2011,1,2011-01-01,,,0.0
201102,1765515.7,0.0,120316.05,153773.9,26050.4,512.904648254639,2011,2,2011-02-01,,,0.0
201103,1704552.0,0.0,116450.173913043,135986.47826087,25559.8260869565,518.832504501614,2011,3,2011-03-01,,,0.0
201104,1919673.05,0.0,124598.45,152921.95,25545.35,558.967455338044,2011,4,2011-04-01,,,0.0
201105,1823446.22727273,0.0,117589.545454545,139440.136363636,24439.5909090909,539.098099955868,2011,5,2011-05-01,,,0.0
201106,1736302.18181818,0.0,107144.954545455,134718.272727273,23280.7272727273,535.19961110384,2011,6,2011-06-01,,,0.0
201107,1921569.15789474,0.0,131867.368421053,152324.473684211,24501.6315789474,538.13115930486,2011,7,2011-07-01,,,0.0
201108,1629749.56521739,0.0,104824.043478261,127833.913043478,21501.3043478261,508.40336788111,2011,8,2011-08-01,,,0.0
201109,1785618.42857143,0.0,117017.0,141696.19047619,23021.1428571429,523.702161218811,2011,9,2011-09-01,,,0.0
201110,1921987.1,0.0,126653.35,151988.4,23659.0,531.333019237533,2011,10,2011-10-01,,,0.0
201111,1931834.76190476,0.0,121009.142857143,144457.095238095,22603.2380952381,536.795337166469,2011,11,2011-11-01,,,0.0
201112,2016697.71428571,0.0,116640.857142857,144508.857142857,21487.2857142857,557.815739994188,2011,12,2011-12-01,,,0.0
201201,1784510.5,0.0,118954.181818182,139012.909090909,21135.2272727273,527.382966209643,2012,1,2012-01-01,,,0.0
201202,1812104.14285714,0.0,114746.428571429,141797.619047619,22527.0952380952,518.570087755528,2012,2,2012-02-01,,,0.0
201203,1797859.59090909,0.0,119434.0,138862.227272727,24317.1363636364,569.004980801747,2012,3,2012-03-01,,,0.0
201204,2022009.1,0.0,125962.2,153890.0,24302.1,535.856647526017,2012,4,2012-04-01,,,0.0
201205,1999012.33333333,0.0,119755.761904762,144276.761904762,25009.7619047619,535.34205717319,2012,5,2012-05-01,,,0.0
201206,1857577.33333333,0.0,110243.619047619,135999.380952381,23383.9047619048,579.361410695437,2012,6,2012-06-01,,,0.0
201207,1961293.25,0.0,123819.3,146562.0,24934.35,573.27674428939,2012,7,2012-07-01,,,0.0
201208,1682998.69565217,0.0,91505.0434782609,112880.260869565,21647.9130434783,503.250751612579,2012,8,2012-08-01,,,0.0
201209,1938174.63157895,0.0,110790.052631579,132960.473684211,22851.1052631579,559.846236880683,2012,9,2012-09-01,,,0.0
201210,1883296.0,0.0,98559.652173913,119211.869565217,22090.0434782609,536.53555086677,2012,10,2012-10-01,,,0.0
201211,1914152.45454545,0.0,101835.0,123278.136363636,21534.4090909091,568.777968225957,2012,11,2012-11-01,,,0.0
201212,2373264.88888889,0.0,123703.444444444,153685.388888889,23688.8888888889,719.08157040542,2012,12,2012-12-01,,,0.0
201301,1877706.45454545,0.0,100858.863636364,120876.136363636,22269.3181818182,680.853868266778,2013,1,2013-01-01,,,0.0
201302,1948973.4,0.0,109905.1,130282.4,22862.6,714.681882853342,2013,2,2013-02-01,,,0.0
201303,1945556.0952381,0.0,106202.619047619,127919.095238095,21992.4285714286,703.78820518963,2013,3,2013-03-01,,,0.0
201304,2055472.80952381,0.0,104800.142857143,129196.619047619,23124.5714285714,696.26429980502,2013,4,2013-04-01,,,0.0
201305,2090682.61904762,0.0,106625.523809524,130447.19047619,22818.6666666667,725.609988081532,2013,5,2013-05-01,,,0.0
201306,1983072.6,0.0,105636.25,125895.85,22255.05,749.870110336309,2013,6,2013-06-01,,,0.0
201307,1909326.36363636,0.0,94017.7727272727,116921.0,21845.7727272727,727.812913561383,2013,7,2013-07-01,,,0.0
201308,1797035.40909091,0.0,95690.4545454545,116153.409090909,21550.7727272727,668.366421752598,2013,8,2013-08-01,,,0.0
201309,1923804.28571429,0.0,101546.380952381,126518.619047619,22293.4285714286,753.256525096546,2013,9,2013-09-01,,,0.0
201310,1989142.95454545,0.0,100011.5,122047.318181818,22319.7272727273,707.956716782619,2013,10,2013-10-01,,,0.0
201311,2055998.04761905,0.0,104526.142857143,126435.095238095,21893.7142857143,860.050232517232,2013,11,2013-11-01,,,0.0
201312,2393594.05263158,0.0,115552.0,141341.473684211,22969.0526315789,929.333937005468,2013,12,2013-12-01,,,0.0
201401,1932655.68181818,0.0,99439.0,119929.909090909,21183.5,885.022852132779,2014,1,2014-01-01,,,0.0
201402,2012998.15,0.0,108443.35,136596.0,26745.2,845.409245626635,2014,2,2014-02-01,,,0.0
201403,2017260.23809524,0.0,103908.809523809,132594.619047619,29034.8571428571,857.409382685454,2014,3,2014-03-01,,,0.0
201404,2143417.33333333,0.0,104015.904761905,131400.428571428,27352.3333333333,854.270842718497,2014,4,2014-04-01,,,0.0
201405,2216419.35,0.0,108834.1,132885.65,23859.15,850.148135695584,2014,5,2014-05-01,,,0.0
201406,2028571.66666667,0.0,99286.4285714286,122443.523809524,23238.4761904762,899.819416783002,2014,6,2014-06-01,,,0.0
201407,1921999.47826087,0.0,88313.8695652174,110524.565217391,22334.652173913,881.330932267175,2014,7,2014-07-01,,,0.0
201408,1930538.14285714,0.0,96457.9047619048,119497.619047619,22901.0476190476,898.152326347483,2014,8,2014-08-01,,,0.0
201409,1977773.90909091,0.0,95392.8636363636,118797.227272727,23378.0,871.978768574125,2014,9,2014-09-01,,,0.0
201410,2070126.45454545,0.0,99816.1363636364,122540.909090909,22940.5909090909,856.905283248057,2014,10,2014-10-01,,,0.0
201411,2291553.05263158,0.0,114272.842105263,137610.210526316,23128.4210526316,864.143199187413,2014,11,2014-11-01,,,0.0
201412,2455295.55,0.0,108753.7,132115.25,21826.1,1036.02325848007,2014,12,2014-12-01,,,0.0
201501,2084211.04761905,0.0,104355.19047619,124228.047619048,21305.619047619,1135.64170714504,2015,1,2015-01-01,,,0.0
201502,2120200.7,0.0,106956.65,127435.4,20355.75,1170.47221157979,2015,2,2015-02-01,,,0.0
201503,2090744.36363636,0.0,102077.409090909,123037.181818182,20860.9090909091,1217.69935709636,2015,3,2015-03-01,,,0.0
201504,2252416.52380952,0.0,103818.428571429,125767.857142857,22193.8571428571,1276.0845962302,2015,4,2015-04-01,,,0.0
201505,2419350.31578947,0.0,114266.947368421,135124.210526316,20638.0526315789,1349.10916639555,2015,5,2015-05-01,,,0.0
201506,2101527.13636364,0.0,94389.0909090909,113414.954545455,19029.0909090909,1331.56099358694,2015,6,2015-06-01,,,0.0
201507,2077913.72727273,0.0,91340.5454545455,108334.772727273,18856.8636363636,1315.83415548981,2015,7,2015-07-01,,,0.0
201508,2016108.85714286,0.0,96027.8571428571,117637.047619048,19401.0476190476,1392.67874065609,2015,8,2015-08-01,,,0.0
201509,2144973.04761905,0.0,98884.1904761905,119711.047619048,19659.5714285714,1591.25077572664,2015,9,2015-09-01,,,0.0
201510,2243349.57142857,0.0,105140.714285714,124448.952380952,20243.4285714286,1497.05326370246,2015,10,2015-10-01,,,0.0
201511,2333766.45,0.0,108088.6,129036.6,20517.4,1451.81003802902,2015,11,2015-11-01,,,0.0
201512,2445857.33333333,0.0,104712.285714286,123969.571428571,19692.7619047619,1659.41633783791,2015,12,2015-12-01,,,0.0
201601,2231488.45,0.0,107677.35,126755.0,19058.55,1701.7582234067374,2016,1,2016-01-01,,,0.0
201602,2256446.6666666665,0.0,102556.90476190476,122416.42857142857,18868.666666666668,1775.707981262882,2016,2,2016-02-01,,,0.0
201603,2260115.095238095,0.0,105054.76190476192,123756.57142857143,19449.61904761905,1780.3689272573863,2016,3,2016-03-01,,,0.0
201604,2333605.52380952,0.0,104099.523809524,122799.761904762,18618.2857142857,1724.41581649957,2016,4,2016-04-01,,,0.0
201605,2290499.63636364,0.0,99830.7727272727,117394.772727273,17866.8636363636,1713.3831246439,2016,5,2016-05-01,,,0.0
201606,2182557.86363636,0.0,94355.2727272727,112302.5,17589.2272727273,1809.24421413231,2016,6,2016-06-01,,,0.0
201607,2379821.31578947,0.0,104935.157894737,123377.631578947,18573.3684210526,1884.14949922304,2016,7,2016-07-01,,,0.0
201608,2030296.26086957,0.0,88856.3913043478,106475.217391304,17780.9565217391,1806.91986714408,2016,8,2016-08-01,,,0.0
201609,2230998.23809524,0.0,100098.333333333,117831.19047619,18795.8571428571,1902.3746811953,2016,9,2016-09-01,,,0.0
201610,2396804.5,0.0,108673.8,129713.85,19265.7,2054.53144378209,2016,10,2016-10-01,,,0.0
201611,2431825.85714286,0.0,104814.19047619,123501.142857143,18859.619047619,2111.99745481786,2016,11,2016-11-01,,,0.0
201612,2511017.38095238,0.0,104988.333333333,123133.952380952,18308.619047619,2143.89135283012,2016,12,2016-12-01,,,0.0
201701,2246105.13636364,0.0,99211.8181818182,116814.409090909,17574.8636363636,2405.1387217815,2017,1,2017-01-01,,,0.0
201702,2352384.7,0.0,107819.35,128218.4,18485.6,2533.96686111318,2017,2,2017-02-01,,,0.0
201703,2249873.04347826,0.0,96694.2608695652,109951.043478261,16820.3043478261,2948.21087421563,2017,3,2017-03-01,,,0.0
201704,2772641.83333333,0.0,122180.888888889,142159.5,19319.5555555556,3168.87465118858,2017,4,2017-04-01,,,0.0
201705,2588724.38095238,0.0,105701.047619048,123340.476190476,17762.2857142857,3136.64495668519,2017,5,2017-05-01,,,0.0
201706,2333340.31818182,0.0,95123.7272727273,112045.909090909,16732.7727272727,3096.95673828505,2017,6,2017-06-01,,,0.0
201707,2543321.94736842,0.0,105778.421052632,124404.105263158,18485.9473684211,3181.84658736003,2017,7,2017-07-01,,,0.0
201708,2148840.69565217,0.0,90026.9130434783,107044.260869565,16885.5217391304,2059.57319183373,2017,8,2017-08-01,,,0.0
201709,2458834.1,0.0,107102.4,126131.75,18579.45,1743.2488466292,2017,9,2017-09-01,,,0.0
201710,2422721.72727273,0.0,102468.409090909,121086.181818182,18195.0909090909,1567.00550435391,2017,10,2017-10-01,,,0.0
201711,2571895.66666667,0.0,106967.809523809,125328.238095238,18294.0476190476,1692.9531300319,2017,11,2017-11-01,,,0.0
201712,2858164.73684211,0.0,117941.263157895,136927.684210526,18007.3684210526,1594.57015061044,2017,12,2017-12-01,,,0.0
201801,2423366.45454545,0.0,101631.818181818,118855.136363636,17603.4545454545,1418.43845373656,2018,1,2018-01-01,,,0.0
201802,2505540.5,0.0,110370.6,129401.1,17768.45,1324.23031439502,2018,2,2018-02-01,,,0.0
201803,2488917.38095238,0.0,104144.904761905,120754.19047619,16987.7142857143,1351.648977985,2018,3,2018-03-01,,,0.0
201804,2747837.9,0.0,108953.0,127154.9,17819.85,1327.88091660036,2018,4,2018-04-01,,,0.0
201805,2692495.28571428,0.0,104547.0,121861.19047619,17312.4761904761,1219.79429002191,2018,5,2018-05-01,,,0.0
201806,2526222.28571428,0.0,97419.7142857142,115016.238095238,17030.4285714285,1296.50795994996,2018,6,2018-06-01,,,0.0
201807,2620631.4,0.0,98312.7,115841.1,17477.05,1318.51533847487,2018,7,2018-07-01,,,0.0
201808,2267797.17391304,0.0,88655.4347826087,105282.913043478,16230.3043478261,1217.32680657104,2018,8,2018-08-01,,,0.0
201809,2634394.26315789,0.0,110925.526315789,129559.0,18860.8421052632,1284.7428357824,2018,9,2018-09-01,,,0.0
201810,2519047.47826087,0.0,98483.6086956522,117165.956521739,18333.5652173913,1155.67924953752,2018,10,2018-10-01,,,0.0
201811,2610016.31818182,0.0,102737.409090909,120591.272727273,17445.6363636364,1145.94409349255,2018,11,2018-11-01,2610011.31818182,2610016.31818182,0.0
201812,3146158.66666667,0.0,125898.555555556,145837.222222222,19419.3888888889,1276.80140376468,2018,12,2018-12-01,3146131.66666667,3146158.66666667,0.0
201901,2536506.0,19.0,102456.0,119590.0,17413.0,1202.0,2019,1,2019-01-01,2536487.0,2536506.0,0.0004734071198727699
201902,2632234.0,1562.0,112808.0,130741.0,17714.0,1194.0,2019,2,2019-02-01,2630672.0,2632234.0,0.03750365658980167
201903,2615799.0,6623.0,108527.0,125489.0,16992.0,1229.0,2019,3,2019-03-01,2609176.0,2615799.0,0.160017493698866
201904,2915463.0,9118.0,114436.0,132141.0,17427.0,1236.0,2019,4,2019-04-01,2906345.0,2915463.0,0.19765560392980464
201905,2823785.0,9035.0,108999.0,126257.0,17403.0,1245.0,2019,5,2019-05-01,2814750.0,2823785.0,0.20221511198621708
201906,2695671.0,9342.0,104848.0,128746.0,17777.0,1180.0,2019,6,2019-06-01,2686329.0,2695671.0,0.21902316714465525
201907,2577274.0,9764.0,92018.0,107718.0,16123.0,1209.0,2019,7,2019-07-01,2567510.0,2577274.0,0.23943313749333597
201908,2428072.0,9442.0,94801.0,111788.0,16660.0,1102.0,2019,8,2019-08-01,2418630.0,2428072.0,0.24576470549472998
201909,2607998.0,33332.0,103893.0,121283.0,17272.0,1181.0,2019,9,2019-09-01,2574666.0,2607998.0,0.8077392697387038
201910,2615315.0,60528.0,104899.0,122009.0,17045.0,1199.0,2019,10,2019-10-01,2554787.0,2615315.0,1.4626802507537333
201911,2687959.0,112936.0,109484.0,126448.0,16888.0,1167.0,2019,11,2019-11-01,2575023.0,2687959.0,2.6553809786533202
201912,2985472.0,215275.0,121113.0,139379.0,17597.0,1346.0,2019,12,2019-12-01,2770197.0,2985472.0,4.55719564611559
202001,2397140.0,245599.0,103527.0,119769.0,16773.0,1240.0,2020,1,2020-01-01,2151541.0,2397140.0,6.475156561569203
202002,2480104.0,297777.0,112929.0,130243.0,17020.0,1164.0,2020,2,2020-02-01,2182327.0,2480104.0,7.588192430640005
202003,2361584.0,308617.0,98786.0,114613.0,15887.0,1268.0,2020,3,2020-03-01,2052967.0,2361584.0,8.259115237908116
202004,2657773.0,310766.0,100623.0,117044.0,16182.0,1396.0,2020,4,2020-04-01,2347007.0,2657773.0,7.389800107082132
202005,2732295.0,340463.0,100553.0,115931.0,15579.0,1287.0,2020,5,2020-05-01,2391832.0,2732295.0,7.875160478645241
202006,2398994.0,334044.0,89682.0,104140.0,14475.0,1260.0,2020,6,2020-06-01,2064950.0,2398994.0,8.80018074242787
202007,2354287.0,317700.0,87963.0,102376.0,14295.0,1249.0,2020,7,2020-07-01,2036587.0,2354287.0,8.528543886110741
202008,2312047.0,341571.0,97192.0,112600.0,15187.0,1156.0,2020,8,2020-08-01,1970476.0,2312047.0,9.33687213105962
202009,2426551.0,390387.0,102486.0,118217.0,15661.0,1234.0,2020,9,2020-09-01,2036164.0,2426551.0,10.16770651018668
202010,2524486.0,406618.0,106437.0,121999.0,15526.0,1266.0,2020,10,2020-10-01,2117868.0,2524486.0,10.179599966092107
202011,2717085.0,495465.0,107831.0,123367.0,15489.0,1224.0,2020,11,2020-11-01,2221620.0,2717085.0,11.524625839824665
202012,2825728.0,458018.0,105546.0,121526.0,15285.0,1296.0,2020,12,2020-12-01,2367710.0,2825728.0,10.243992910853416
202101,2543659.0,447736.0,106294.0,120886.0,15272.0,1204.0,2021,1,2021-01-01,2095923.0,2543659.0,11.124492394617361
202102,2541704.0,447130.0,102925.0,118779.0,14582.0,1136.0,2021,2,2021-02-01,2094574.0,2541704.0,11.117980693267194
202103,2441038.0,473314.0,86988.0,99798.0,13850.0,1266.0,2021,3,2021-03-01,1967724.0,2441038.0,12.254395384258665
202104,2781144.0,512143.0,99644.0,114272.0,14479.0,1317.0,2021,4,2021-04-01,2269001.0,2781144.0,11.638173931303088
202105,2725794.0,512431.0,103082.0,116969.0,13961.0,1224.0,2021,5,2021-05-01,2213363.0,2725794.0,11.881176347148758
202106,2496159.0,486183.0,94218.0,108074.0,13785.0,1352.0,2021,6,2021-06-01,2009976.0,2496159.0,12.309618738229416
202107,2643235.0,495879.0,98130.0,112253.0,14070.0,1353.0,2021,7,2021-07-01,2147356.0,2643235.0,11.856514006510961
202108,2348111.0,490142.0,92596.0,106849.0,14049.0,1306.0,2021,8,2021-08-01,1857969.0,2348111.0,13.192295594203168
202109,2481631.0,566057.0,101375.0,116472.0,14941.0,1313.0,2021,9,2021-09-01,1915574.0,2481631.0,14.415842806605816
202110,2649440.0,599573.0,112308.0,127597.0,15317.0,1398.0,2021,10,2021-10-01,2049867.0,2649440.0,14.302272782172837
202111,2686658.0,662754.0,104744.0,119071.0,14319.0,1439.0,2021,11,2021-11-01,2023904.0,2686658.0,15.590392524839409
202112,2663277.0,620716.0,100817.0,114754.0,13903.0,1495.0,2021,12,2021-12-01,2042561.0,2663277.0,14.729692480354089
202201,2612728.0,613948.0,104124.0,118330.0,14115.0,1378.0,2022,1,2022-01-01,1998780.0,2612728.0,14.850957925968567
202202,2574886.0,618597.0,108239.0,123612.0,14199.0,1488.0,2022,2,2022-02-01,1956289.0,2574886.0,15.183324776320196
202203,2411844.0,613240.0,96565.0,108964.0,13346.0,1339.0,2022,3,2022-03-01,1798604.0,2411844.0,16.06935108572528
202204,2893285.0,706485.0,115413.0,130500.0,14722.0,1532.0,2022,4,2022-04-01,2186800.0,2893285.0,15.432234294236483
202205,2667761.0,671568.0,100117.0,113491.0,13267.0,1343.0,2022,5,2022-05-01,1996193.0,2667761.0,15.909632684487105
202206,2499650.0,652895.0,91538.0,104743.0,13165.0,1572.0,2022,6,2022-06-01,1846755.0,2499650.0,16.507496649530935
202207,2722213.0,679204.0,100550.0,115010.0,14356.0,1466.0,2022,7,2022-07-01,2043009.0,2722213.0,15.768675265308042
